Product Name,Category,Price,Stock,Revenue
Laptop Pro,Electronics,1299.99,45,58499.55
Wireless Mouse,Electronics,29.99,120,3598.80
Mechanical Keyboard,Electronics,89.99,78,7019.22
USB-C Cable,Electronics,19.99,200,3998.00
Monitor 27",Electronics,349.99,32,11199.68
Office Chair,Furniture,199.99,56,11199.44
Desk Lamp,Furniture,49.99,89,4449.11
Standing Desk,Furniture,599.99,12,7199.88
Bookshelf,Furniture,149.99,34,5099.66
Coffee Table,Furniture,299.99,23,6899.77
Running Shoes,Clothing,79.99,67,5359.33
T-Shirt,Clothing,24.99,150,3748.50
Jeans,Clothing,59.99,98,5879.02
Winter Jacket,Clothing,149.99,45,6749.55
Baseball Cap,Clothing,19.99,180,3598.20
Coffee Maker,Appliances,89.99,54,4859.46
Toaster,Appliances,49.99,76,3799.24
Blender,Appliances,79.99,43,3439.57
Microwave,Appliances,129.99,28,3639.72
Refrigerator,Appliances,899.99,8,7199.92
Notebook,Stationery,4.99,250,1247.50
Pen Set,Stationery,12.99,180,2338.20
Stapler,Stationery,8.99,95,854.05
File Folder,Stationery,2.99,300,897.00
Binder,Stationery,6.99,200,1398.00
iPhone Case,Accessories,24.99,145,3623.55
Phone Charger,Accessories,19.99,178,3560.22
Headphones,Accessories,79.99,89,7149.11
Smart Watch,Accessories,199.99,34,6799.66
Power Bank,Accessories,39.99,112,4478.88
Gaming Mouse,Electronics,79.99,65,5199.35
Gaming Keyboard,Electronics,129.99,48,6239.52
Webcam HD,Electronics,59.99,72,4319.28
Tablet Stand,Electronics,29.99,95,2849.05
Laptop Bag,Accessories,49.99,87,4349.13
Backpack,Accessories,69.99,64,4479.36
Wallet,Accessories,34.99,98,3429.02
Sunglasses,Accessories,89.99,56,5039.44
Water Bottle,Accessories,19.99,200,3998.00
Yoga Mat,Sports,29.99,78,2339.22
Dumbbells Set,Sports,149.99,25,3749.75
Resistance Bands,Sports,24.99,90,2249.10
Jump Rope,Sports,12.99,120,1558.80
Basketball,Sports,39.99,45,1799.55
Soccer Ball,Sports,29.99,67,2009.33
Tennis Racket,Sports,89.99,34,3059.66
Golf Clubs Set,Sports,299.99,12,3599.88
